word1	word2	tier	diff
거리	다리	easy	sub@1:거→다
거리	머리	easy	sub@1:거→머
거리	허리	easy	sub@1:거→허
나라	나무	easy	sub@2:라→무
다리	머리	easy	sub@1:다→머
다리	허리	easy	sub@1:다→허
도마	도시	easy	sub@2:마→시
도마	이마	easy	sub@1:도→이
머리	허리	easy	sub@1:머→허
모자	의자	easy	sub@1:모→의
아기	아빠	easy	sub@2:기→빠
감	강	easy	sub@1:감→강
감	국	easy	sub@1:감→국
감	귀	easy	sub@1:감→귀
감	꿈	easy	sub@1:감→꿈
감	낮	easy	sub@1:감→낮
감	눈	easy	sub@1:감→눈
감	달	easy	sub@1:감→달
감	등	easy	sub@1:감→등
감	말	easy	sub@1:감→말
감	목	easy	sub@1:감→목
감	문	easy	sub@1:감→문
감	물	easy	sub@1:감→물
감	밖	easy	sub@1:감→밖
감	발	easy	sub@1:감→발
감	밤	easy	sub@1:감→밤
감	밥	easy	sub@1:감→밥
감	방	easy	sub@1:감→방
감	벽	easy	sub@1:감→벽
감	별	easy	sub@1:감→별
감	볼	easy	sub@1:감→볼
감	봄	easy	sub@1:감→봄
감	불	easy	sub@1:감→불
감	비	easy	sub@1:감→비
감	빵	easy	sub@1:감→빵
감	소	easy	sub@1:감→소
감	코	easy	sub@1:감→코
강	국	easy	sub@1:강→국
강	귀	easy	sub@1:강→귀
강	꿈	easy	sub@1:강→꿈
강	낮	easy	sub@1:강→낮
강	눈	easy	sub@1:강→눈
강	달	easy	sub@1:강→달
강	등	easy	sub@1:강→등
강	말	easy	sub@1:강→말
강	목	easy	sub@1:강→목
강	문	easy	sub@1:강→문
강	물	easy	sub@1:강→물
강	밖	easy	sub@1:강→밖
강	발	easy	sub@1:강→발
강	밤	easy	sub@1:강→밤
강	밥	easy	sub@1:강→밥
강	방	easy	sub@1:강→방
강	벽	easy	sub@1:강→벽
강	별	easy	sub@1:강→별
강	볼	easy	sub@1:강→볼
강	봄	easy	sub@1:강→봄
강	불	easy	sub@1:강→불
강	비	easy	sub@1:강→비
강	빵	easy	sub@1:강→빵
강	소	easy	sub@1:강→소
강	코	easy	sub@1:강→코
국	귀	easy	sub@1:국→귀
국	꿈	easy	sub@1:국→꿈
국	낮	easy	sub@1:국→낮
국	눈	easy	sub@1:국→눈
국	달	easy	sub@1:국→달
국	등	easy	sub@1:국→등
국	말	easy	sub@1:국→말
