zi4ji3|自己
ke3yi3|可以
yi3jing1|已经
zhe4yang4|这样
ru2guo3|如果
yin1wei4|因为
wen4ti2|问题
dan4shi4|但是
ke3neng2|可能
suo3yi3|所以
na4me5|那么
zhe4me5|这么
ren4wei2|认为
ying1gai1|应该
da4jia1|大家
fa1xian4|发现
yi1ding4|一定
yi1zhi2|一直
sheng1huo2|生活
bu4guo4|不过
gong1si1|公司
bu4yao4|不要
suo3you3|所有
er2qie3|而且
bi4xu1|必须
cheng2wei2|成为
qi2ta1|其他
shi4qing5|事情
gan3jue2|感觉
ran2hou4|然后
wei4shen2me5|为什么
jin4xing2|进行
chu1xian4|出现
jian4dao4|见到
tong1guo4|通过
guo4qu4|过去
can1jia1|参加
an1quan2|安全
jie1guo3|结果
huo4zhe3|或者
bu4cuo4|不错
ji1hui4|机会
wan2quan2|完全
ji4hua4|计划
ke3shi4|可是
yi3hou4|以后
yao1qiu2|要求
xiang1xin4|相信
sui1ran2|虽然
yuan2yin1|原因
zhi3yao4|只要
jin4ru4|进入
bu4tong2|不同
you3ren2|有人
fen1zhong1|分钟
jie1shou4|接受
qi2zhong1|其中
ren2men5|人们
neng2gou4|能够
wan2cheng2|完成
bang1zhu4|帮助
nu3li4|努力
dang1shi2|当时
bu4fen5|部分
yi3qian2|以前
ban4fa3|办法
te4bie2|特别
zhen1zheng4|真正
gai3bian4|改变
li2kai1|离开
tong2shi2|同时
yi3wei2|以为
fang1fa3|方法
zhi2jie1|直接
ying3xiang3|影响
yong3yuan3|永远
ye3xu3|也许
fang1mian4|方面
huo2dong4|活动
xin4xi1|信息
zui4jin4|最近
kuai4le4|快乐
shi3yong4|使用
lai2zi4|来自
jian3cha2|检查
zhong1xin1|中心
xing2dong4|行动
kai1xin1|开心
dai4lai2|带来
guo4lai2|过来
jia1ting2|家庭
quan2bu4|全部
gang1gang5|刚刚
zheng4chang2|正常
fu2wu4|服务
xiang3dao4|想到
xing2wei2|行为
hao3xiang4|好像
yuan4yi4|愿意
yin1yue4|音乐
gan3xie4|感谢
na4yang4|那样
zhao4pian4|照片
gan3dao4|感到
qing1chu5|清楚
yin2hang2|银行
gu4shi4|故事
yuan2lai2|原来
ta1men5|它们
huan1ying2|欢迎
yi1ban1|一般
ke3ai4|可爱
xin1wen2|新闻
