ai4|爱
ba1|八
bai2|白
bai3|百
ban1|搬
ban1|班
bang1zhu4|帮助
bao3bao5|宝宝
bei1zi5|杯子
bei3|北
bi2zi5|鼻子
bing1|冰
bo1li5|玻璃
bu4|不
cao3|草
cha2|茶
chao2shi1|潮湿
cheng2shi4|城市
chi1|吃
chu2fang2|厨房
chuan2|船
chuang1|窗
chuang2|床
chun1tian1|春天
ci2|词
cong2bu4|从不
cun1zhuang1|村庄
da3po4|打破
da4xiao3|大小
da4|大
dai4|带
dan4|蛋
dao3|岛
deng1|灯
di4ban3|地板
di4qiu2|地球
dian3|点
dian4nao3|电脑
dian4ying3|电影
dian4|店
dong1tian1|冬天
dong1|东
dong4wu4|动物
du2|读
duan3|短
er2zi5|儿子
er3duo3|耳朵
er4|二
fa3lü4|法律
fang1|方
fang2jian1|房间
fang2zi5|房子
fei1ji1|飞机
feng1|风
fu4qin1|父亲
fu4|付
gan4|干
ge1ge5|哥哥
ge1|歌
gei3|给
gen1|根
gong1jiao1|公交
gong1ju4|工具
gong1zuo4|工作
gou3|狗
gu3tou5|骨头
gu4shi4|故事
guan1|关
guang1|光
guo2jia1|国家
guo2wang2|国王
hai2zi5|孩子
hai3|海
hai4pa4|害怕
hao3|好
he2ping2|和平
he2zi5|盒子
he2|河
hei1an4|黑暗
hei1|黑
hong2|红
hou4|后
hu2li5|狐狸
hu2|湖
hua1|花
huai4|坏
huang2|黄
hui1|灰
huo3che1|火车
huo3|火
ji1qi4|机器
jia1ting2|家庭
jia4ge2|价格
jian4kang1|健康
jian4|建
jiao3|脚
jiao4tang2|教堂
jie1dao4|街道
jie3jie5|姐姐
jie4zhi3|戒指
jin1shu3|金属
jin1tian1|今天
jin1|金
jing1chang2|经常
jing1shen2|精神
jing3|井
jiu3|九
jiu3|酒
kai1shi3|开始
kai1|开
kan4|看
kuai4|快
la1|拉
lan2|蓝
lang2|狼
lang4|浪
lao3shi1|老师
lao3shu3|老鼠
lao3|老
leng3|冷
li3wu4|礼物
li4liang5|力量
lian4tiao2|链条
liang2|凉
ling2hun2|灵魂
liu4|六
lu4|路
lv3xing2|旅行
lv4|绿
ma3|马
mai3|买
mai4|卖
man4|慢
mao1|猫
mao4zi5|帽子
men2|门
mi3|米
min2zu2|民族
ming2zi5|名字
mu3qin1|母亲
mu4tou5|木头
na2|拿
na4li5|那里
nan2hai2|男孩
nan2ren2|男人
nan2|南
nian2|年
niao3|鸟
niu2nai3|牛奶
nong2chang3|农场
nuan3|暖
nv3hai2|女孩
nv3wang2|女王
nü3ren2|女人
pan2zi5|盘子
pao3|跑
peng2you5|朋友
pi2fu1|皮肤
qi1|七
qi4che1|汽车
qian1|千
qian2|前
qian2|钱
qiang2bi4|墙壁
qiang2|强
qiao2|桥
qiu2|球
qu3|取
ran2hou4|然后
re4|热
ren2men5|人们
rong2yi4|容易
rou4|肉
ruan3|软
ruo4|弱
san1|三
sha1|沙
shan1|山
shang1dian4|商店
shang4|上
shen1ti3|身体
shen2|神
sheng1huo2|生活
sheng1yin1|声音
shi1qu4|失去
shi1|诗
shi2jian1|时间
shi2tou5|石头
shi2wu4|食物
shi2|十
shi4chang3|市场
shi4jie4|世界
shou3bi4|手臂
shou3|手
shu1|书
shu4zi4|数字
shu4|树
shui3|水
shuo1|说
si3|死
si4|四
song4|送
su4liao4|塑料
tai4yang2|太阳
tang2|糖
teng2|疼
tian1|天
tian2|田
tiao4wu3|跳舞
tiao4|跳
tie3|铁
ting2|停
tou2fa5|头发
tou2|头
tu2hua4|图画
tui1|推
tui3|腿
wa4zi5|袜子
wai4tao4|外套
wan2|玩
wan3|碗
wu1ding3|屋顶
wu3|五
xi1wang4|希望
xi1|西
xi3huan5|喜欢
xia4|下
xia4|夏
xian4zai4|现在
xian4|线
xiang3|想
xiang4ji1|相机
xiao3shi2|小时
xiao3|小
xie3|写
xin1|心
xin1|新
xin4|信
xing1qi1|星期
xing1|星
xing2zhuang4|形状
xiong2|熊
xu1yao4|需要
xue2sheng5|学生
xue2xiao4|学校
xue3|雪
xue4|血
ya1|鸭
yan1|烟
yan2se4|颜色
yan2shi2|岩石
yan2|盐
yan3jing5|眼睛
yao4shi5|钥匙
yao4|药
yao4|要
ye4zi5|叶子
ye4|夜
ye4|页
yi1yuan4|医院
yi1|一
yi4shu4|艺术
yin1yue4|音乐
yin2|银
ying4bi4|硬币
ying4|硬
you2xi4|游戏
you2yong3|游泳
you3shi2|有时
you4|右
yu2|鱼
yu3|雨
yuan2|圆
yue4liang4|月亮
yue4|月
yun2|云
zao3shang5|早上
zao4yin1|噪音
zhan4zheng1|战争
zhang3|长
zhao3|找
zhe4li3|这里
zhen4|镇
zhi1dao4|知道
zhi2wu4|植物
zhi3|纸
zhong1jian1|中间
zhong3zi5|种子
zhu1|猪
zhuo1zi5|桌子
zi4ran2|自然
zong3shi4|总是
zou3|走
zui3|嘴
zuo3|左
zuo4|做
